symbol,signal_date,entry_date,exit_date,setup,score,entry,stop,target,exit,exit_reason,days_held,ret_pct,r_multiple
COFORGE,2024-11-26,2024-11-27,2024-11-27,BLOWOFF EXTENSION,59.0,1696.34,1726.05,1582.91,1726.05,STOP,0,-1.852,-1.058
COFORGE,2026-05-11,2026-05-12,2026-05-19,DEAD-CAT BOUNCE,68.0,1358.24,1400.54,1247.92,1400.54,STOP,5,-3.216,-1.033
CROMPTON,2022-07-15,2022-07-18,2022-07-19,DEAD-CAT BOUNCE,65.0,378.62,388.53,351.1,388.53,STOP,1,-2.719,-1.039
CUMMINSIND,2026-05-28,2026-05-29,2026-06-09,BLOWOFF EXTENSION,61.0,6021.47,6137.76,5428.22,5635.0,TIME_STOP,7,6.321,3.273
DALBHARAT,2022-12-02,2022-12-05,2022-12-14,BLOWOFF EXTENSION,82.0,1859.73,1924.02,1717.21,1844.81,TIME_STOP,7,0.702,0.203
DALBHARAT,2025-06-27,2025-06-30,2025-07-02,BLOWOFF EXTENSION,57.0,2179.81,2218.43,2082.33,2218.43,STOP,2,-1.872,-1.057
DELHIVERY,2025-05-15,2025-05-16,2025-05-19,DEAD-CAT BOUNCE,53.0,321.83,329.33,301.4,335.85,STOP,1,-4.459,-1.913
DIXON,2023-05-29,2023-05-30,2023-05-31,BLOWOFF EXTENSION,81.0,3662.67,3760.6,3195.59,3760.6,STOP,1,-2.775,-1.038
DIXON,2026-04-17,2026-04-20,2026-04-28,DEAD-CAT BOUNCE,53.0,11258.73,11514.16,10592.67,11514.16,STOP,6,-2.37,-1.045
EICHERMOT,2023-04-19,2023-04-20,2023-05-02,BLOWOFF EXTENSION,55.0,3143.27,3203.4,2982.34,3212.91,TIME_STOP,7,-2.317,-1.211
EICHERMOT,2025-01-03,2025-01-06,2025-01-15,BLOWOFF EXTENSION,67.0,5198.08,5347.44,4847.06,4973.41,TIME_STOP,7,4.224,1.47
EICHERMOT,2025-03-25,2025-03-26,2025-04-07,BLOWOFF EXTENSION,51.0,5326.73,5458.72,5058.22,4936.0,TIME_STOP,7,7.239,2.921
EXIDEIND,2023-05-18,2023-05-19,2023-05-23,BLOWOFF EXTENSION,72.0,200.58,205.29,188.3,205.29,STOP,2,-2.446,-1.043
EXIDEIND,2026-05-28,2026-05-29,2026-06-02,BLOWOFF EXTENSION,72.0,391.88,398.42,354.21,398.42,STOP,2,-1.77,-1.06
FEDERALBNK,2021-10-18,2021-10-19,2021-10-21,BLOWOFF EXTENSION,50.0,90.49,93.61,83.56,93.61,STOP,2,-3.555,-1.029
FEDERALBNK,2024-07-12,2024-07-15,2024-07-23,BLOWOFF EXTENSION,52.0,191.22,195.99,179.42,200.59,STOP,5,-5.003,-2.003
FORCEMOT,2026-01-01,2026-01-02,2026-01-02,BLOWOFF EXTENSION,69.0,20434.54,21136.12,18498.05,21136.12,STOP,0,-3.535,-1.03
GVT&D,2024-05-22,2024-05-23,2024-05-23,BLOWOFF EXTENSION,80.0,1395.58,1442.19,1132.97,1442.19,STOP,0,-3.442,-1.03
GLENMARK,2023-09-14,2023-09-15,2023-09-21,BLOWOFF EXTENSION,52.0,847.46,870.21,790.21,870.21,STOP,3,-2.786,-1.038
GODREJPROP,2022-07-22,2022-07-25,2022-07-28,DEAD-CAT BOUNCE,62.0,1443.56,1481.96,1332.09,1481.96,STOP,3,-2.762,-1.038
GODREJPROP,2022-08-01,2022-08-02,2022-08-04,DEAD-CAT BOUNCE,53.0,1496.5,1540.46,1392.6,1392.6,TARGET,2,6.846,2.331
GODREJPROP,2024-01-05,2024-01-08,2024-01-12,BLOWOFF EXTENSION,67.0,2197.8,2268.17,2017.95,2268.17,STOP,4,-3.303,-1.032
GODREJPROP,2025-10-21,2025-10-23,2025-10-27,BLOWOFF EXTENSION,69.0,2277.52,2339.62,2121.63,2339.62,STOP,2,-2.828,-1.037
GRASIM,2026-05-22,2026-05-25,2026-06-03,BLOWOFF EXTENSION,52.0,3138.86,3206.0,2935.0,3099.0,TIME_STOP,7,1.17,0.547
HCLTECH,2023-01-18,2023-01-19,2023-01-20,BLOWOFF EXTENSION,69.0,964.35,980.66,926.06,980.66,STOP,1,-1.792,-1.06
HCLTECH,2023-09-05,2023-09-06,2023-09-07,BLOWOFF EXTENSION,55.0,1098.45,1119.3,1054.9,1119.3,STOP,1,-1.999,-1.053
HCLTECH,2023-12-18,2023-12-19,2023-12-29,BLOWOFF EXTENSION,67.0,1340.48,1374.45,1239.76,1335.43,TIME_STOP,7,0.277,0.109
HDFCBANK,2024-06-20,2024-06-21,2024-06-25,BLOWOFF EXTENSION,71.0,800.92,819.95,760.78,819.95,STOP,2,-2.477,-1.043
HDFCBANK,2025-04-22,2025-04-23,2025-05-05,BLOWOFF EXTENSION,65.0,938.13,961.0,886.79,941.01,TIME_STOP,7,-0.407,-0.167
HDFCLIFE,2021-08-30,2021-08-31,2021-08-31,BLOWOFF EXTENSION,64.0,694.34,704.72,670.78,704.72,STOP,0,-1.597,-1.067
HDFCLIFE,2024-06-14,2024-06-18,2024-06-27,DEAD-CAT BOUNCE,62.0,587.72,599.67,563.67,585.34,TIME_STOP,7,0.305,0.15
HDFCLIFE,2024-07-09,2024-07-10,2024-07-10,BLOWOFF EXTENSION,63.0,616.37,628.52,590.84,628.52,STOP,0,-2.072,-1.051
HDFCLIFE,2025-03-24,2025-03-25,2025-04-01,BLOWOFF EXTENSION,56.0,670.67,686.8,637.45,686.8,STOP,4,-2.505,-1.042
HEROMOTOCO,2022-04-28,2022-04-29,2022-05-06,DEAD-CAT BOUNCE,86.0,2174.74,2231.46,2055.44,2231.46,STOP,4,-2.71,-1.039
HINDALCO,2022-08-01,2022-08-02,2022-08-04,DEAD-CAT BOUNCE,89.0,404.5,416.92,365.75,416.92,STOP,2,-3.173,-1.033
HAL,2025-09-15,2025-09-16,2025-09-17,BLOWOFF EXTENSION,60.0,4735.87,4829.14,4493.65,4829.14,STOP,1,-2.07,-1.051
HINDPETRO,2022-11-29,2022-11-30,2022-11-30,BLOWOFF EXTENSION,68.0,142.93,146.43,132.27,146.43,STOP,0,-2.551,-1.041
HINDPETRO,2023-11-09,2023-11-10,2023-11-15,BLOWOFF EXTENSION,58.0,180.24,186.44,160.17,186.44,STOP,2,-3.542,-1.03
HINDPETRO,2025-06-30,2025-07-01,2025-07-02,BLOWOFF EXTENSION,54.0,420.3,430.35,393.81,430.35,STOP,1,-2.491,-1.042
HINDUNILVR,2023-05-16,2023-05-17,2023-05-26,BLOWOFF EXTENSION,59.0,2481.02,2518.93,2389.19,2439.6,TIME_STOP,7,1.57,1.028
HINDZINC,2024-04-04,2024-04-05,2024-04-08,BLOWOFF EXTENSION,77.0,303.06,312.99,280.47,313.26,STOP,1,-3.467,-1.058
POWERINDIA,2022-12-13,2022-12-14,2022-12-15,BLOWOFF EXTENSION,78.0,3272.07,3367.12,3059.56,3367.12,STOP,1,-3.006,-1.035
ICICIBANK,2025-03-24,2025-03-25,2025-04-04,BLOWOFF EXTENSION,56.0,1333.42,1367.91,1261.52,1319.37,TIME_STOP,7,0.954,0.369
ICICIGI,2025-06-09,2025-06-10,2025-06-13,BLOWOFF EXTENSION,79.0,1984.0,2027.28,1867.78,1862.06,TARGET,3,6.049,2.773
ICICIPRULI,2023-06-08,2023-06-09,2023-06-14,BLOWOFF EXTENSION,68.0,497.94,516.22,463.84,516.22,STOP,3,-3.774,-1.028
IDFCFIRSTB,2025-06-09,2025-06-10,2025-06-19,BLOWOFF EXTENSION,59.0,71.62,73.32,67.88,70.54,TIME_STOP,7,1.415,0.598
ITC,2023-02-06,2023-02-07,2023-02-16,BLOWOFF EXTENSION,65.0,313.22,322.62,289.86,320.69,TIME_STOP,7,-2.485,-0.828
INDIANB,2022-10-24,2022-10-25,2022-10-25,BLOWOFF EXTENSION,65.0,209.05,216.03,187.53,216.03,STOP,0,-3.442,-1.03
INDHOTEL,2026-06-22,2026-06-23,2026-07-02,BLOWOFF EXTENSION,71.0,722.06,740.74,679.75,722.0,TIME_STOP,7,-0.092,-0.036
IOC,2022-08-17,2022-08-18,2022-08-24,DEAD-CAT BOUNCE,61.0,60.73,61.56,58.69,58.69,TARGET,4,3.261,2.383
INFY,2022-08-05,2022-08-08,2022-08-19,DEAD-CAT BOUNCE,75.0,1421.42,1451.5,1353.45,1407.74,TIME_STOP,7,0.862,0.407
INFY,2022-10-18,2022-10-19,2022-10-24,DEAD-CAT BOUNCE,53.0,1328.22,1349.28,1283.82,1349.28,STOP,3,-1.686,-1.064
INFY,2023-07-19,2023-07-20,2023-07-21,BLOWOFF EXTENSION,62.0,1327.57,1370.09,1241.46,1201.08,TARGET,1,9.433,2.945
INDIGO,2021-11-16,2021-11-17,2021-11-22,BLOWOFF EXTENSION,58.0,2319.11,2397.44,2159.45,2159.45,TARGET,2,6.788,2.01
JSWSTEEL,2026-01-05,2026-01-06,2026-01-14,BLOWOFF EXTENSION,57.0,1171.09,1191.83,1124.89,1191.83,STOP,6,-1.871,-1.057
JINDALSTEL,2023-12-13,2023-12-14,2023-12-14,BLOWOFF EXTENSION,50.0,738.25,757.28,682.78,757.28,STOP,0,-2.679,-1.039
JINDALSTEL,2024-05-22,2024-05-23,2024-06-03,BLOWOFF EXTENSION,65.0,1053.24,1089.07,965.74,1075.61,TIME_STOP,7,-2.225,-0.654
JINDALSTEL,2026-01-05,2026-01-06,2026-01-08,BLOWOFF EXTENSION,57.0,1073.33,1093.14,1031.19,1031.19,TARGET,2,3.828,2.073
JIOFIN,2025-04-24,2025-04-25,2025-04-30,DEAD-CAT BOUNCE,55.0,255.84,261.33,237.42,261.33,STOP,3,-2.247,-1.047
KOTAKBANK,2025-03-25,2025-03-26,2025-04-07,BLOWOFF EXTENSION,50.0,431.07,442.08,401.69,403.28,TIME_STOP,7,6.351,2.487
LTF,2024-06-18,2024-06-19,2024-06-20,BLOWOFF EXTENSION,54.0,174.29,178.94,159.4,178.94,STOP,1,-2.766,-1.038
LTF,2025-03-24,2025-03-25,2025-04-04,BLOWOFF EXTENSION,79.0,151.44,156.55,140.32,149.93,TIME_STOP,7,0.9,0.267
LICHSGFIN,2022-07-20,2022-07-21,2022-07-22,DEAD-CAT BOUNCE,58.0,341.21,348.18,326.66,348.18,STOP,1,-2.144,-1.049
LICHSGFIN,2025-07-17,2025-07-18,2025-07-18,BLOWOFF EXTENSION,60.0,624.37,633.65,602.59,633.65,STOP,0,-1.588,-1.068
LTM,2023-12-18,2023-12-19,2023-12-20,BLOWOFF EXTENSION,50.0,5838.96,6013.21,5480.41,6013.21,STOP,1,-3.086,-1.034
LT,2022-01-17,2022-01-18,2022-01-21,BLOWOFF EXTENSION,59.0,1938.78,1978.21,1847.56,1847.56,TARGET,3,4.607,2.265
LAURUSLABS,2022-08-11,2022-08-12,2022-08-16,BLOWOFF EXTENSION,69.0,554.67,568.0,521.04,568.0,STOP,1,-2.504,-1.042
LAURUSLABS,2025-12-26,2025-12-29,2025-12-30,BLOWOFF EXTENSION,55.0,1076.75,1097.08,1030.82,1097.08,STOP,1,-1.989,-1.053
LAURUSLABS,2026-05-12,2026-05-13,2026-05-14,BLOWOFF EXTENSION,65.0,1258.84,1297.62,1155.29,1297.62,STOP,1,-3.182,-1.033
M&M,2022-11-01,2022-11-02,2022-11-11,BLOWOFF EXTENSION,55.0,1300.12,1325.39,1235.57,1235.57,TARGET,6,4.867,2.503
M&M,2025-09-09,2025-09-10,2025-09-19,BLOWOFF EXTENSION,57.0,3631.29,3707.7,3346.84,3563.58,TIME_STOP,7,1.766,0.839
MARUTI,2022-06-27,2022-06-28,2022-06-30,BLOWOFF EXTENSION,61.0,8085.67,8294.61,7653.19,8294.61,STOP,2,-2.685,-1.039
MARUTI,2023-09-04,2023-09-05,2023-09-11,BLOWOFF EXTENSION,64.0,10070.86,10303.86,9535.64,10303.86,STOP,4,-2.415,-1.044
MAXHEALTH,2022-09-13,2022-09-14,2022-09-15,BLOWOFF EXTENSION,52.0,415.3,427.63,387.09,427.63,STOP,1,-3.069,-1.034
MAZDOCK,2025-09-15,2025-09-16,2025-09-17,BLOWOFF EXTENSION,53.0,2893.58,2958.49,2745.95,2958.49,STOP,1,-2.344,-1.045
MPHASIS,2022-12-02,2022-12-05,2022-12-09,DEAD-CAT BOUNCE,81.0,1940.2,1985.95,1836.32,1836.32,TARGET,4,5.257,2.229
MCX,2022-07-21,2022-07-22,2022-08-01,DEAD-CAT BOUNCE,82.0,273.8,279.97,258.63,258.63,TARGET,6,5.444,2.417
MCX,2025-10-15,2025-10-16,2025-10-28,BLOWOFF EXTENSION,71.0,1883.12,1936.05,1684.71,1863.9,TIME_STOP,7,0.921,0.328
MCX,2026-05-15,2026-05-18,2026-05-20,BLOWOFF EXTENSION,62.0,3346.65,3448.68,3026.77,3448.68,STOP,2,-3.15,-1.033
MUTHOOTFIN,2025-09-09,2025-09-10,2025-09-16,BLOWOFF EXTENSION,61.0,2887.37,2937.75,2721.62,2937.75,STOP,4,-1.846,-1.058
NMDC,2026-04-15,2026-04-16,2026-04-16,BLOWOFF EXTENSION,51.0,86.54,88.64,81.43,88.64,STOP,0,-2.519,-1.042
NTPC,2021-09-16,2021-09-17,2021-09-22,BLOWOFF EXTENSION,55.0,105.28,108.23,98.89,108.23,STOP,3,-2.909,-1.036
NTPC,2024-08-01,2024-08-02,2024-08-13,BLOWOFF EXTENSION,52.0,395.8,407.38,371.76,387.21,TIME_STOP,7,2.07,0.707
NTPC,2025-03-25,2025-03-26,2025-04-07,BLOWOFF EXTENSION,68.0,354.43,364.08,328.03,319.57,TIME_STOP,7,9.742,3.578
NESTLEIND,2024-09-23,2024-09-24,2024-09-24,BLOWOFF EXTENSION,61.0,1316.05,1342.32,1259.88,1342.32,STOP,0,-2.098,-1.051
OBEROIRLTY,2023-11-06,2023-11-07,2023-11-09,BLOWOFF EXTENSION,61.0,1212.01,1240.89,1132.53,1240.89,STOP,2,-2.484,-1.042
OBEROIRLTY,2026-07-06,2026-07-07,2026-07-16,BLOWOFF EXTENSION,71.0,1944.05,1998.11,1765.04,1892.3,TIME_STOP,7,2.563,0.922
PAYTM,2026-07-02,2026-07-03,2026-07-07,BLOWOFF EXTENSION,60.0,1203.89,1236.37,1123.74,1236.37,STOP,2,-2.799,-1.038
OFSS,2023-09-06,2023-09-07,2023-09-07,BLOWOFF EXTENSION,51.0,3764.14,3826.0,3639.52,3826.0,STOP,0,-1.744,-1.061
OFSS,2025-04-24,2025-04-25,2025-04-29,DEAD-CAT BOUNCE,84.0,8039.1,8245.76,7394.74,8245.76,STOP,2,-2.672,-1.039
OFSS,2025-06-17,2025-06-18,2025-06-26,DEAD-CAT BOUNCE,53.0,9211.56,9420.93,8613.8,8613.8,TARGET,6,6.392,2.813
OFSS,2026-06-26,2026-06-29,2026-07-01,BLOWOFF EXTENSION,56.0,10963.53,11116.78,9924.74,11116.78,STOP,2,-1.499,-1.072
POLICYBZR,2026-04-24,2026-04-27,2026-04-27,DEAD-CAT BOUNCE,82.0,1665.33,1714.75,1555.03,1714.75,STOP,0,-3.069,-1.034
PAGEIND,2024-10-16,2024-10-17,2024-10-23,BLOWOFF EXTENSION,55.0,44723.58,45813.08,42449.8,42449.8,TARGET,4,4.987,2.047
PAGEIND,2026-04-08,2026-04-09,2026-04-09,DEAD-CAT BOUNCE,84.0,35027.1,35933.0,32718.64,35933.0,STOP,0,-2.688,-1.039
PERSISTENT,2022-12-02,2022-12-05,2022-12-12,BLOWOFF EXTENSION,77.0,2098.47,2169.89,1912.68,1912.68,TARGET,5,8.758,2.574
PETRONET,2024-01-04,2024-01-05,2024-01-05,BLOWOFF EXTENSION,63.0,212.09,216.74,201.82,216.74,STOP,0,-2.293,-1.046
