symbol,signal_date,entry_date,exit_date,setup,score,entry,stop,target,exit,exit_reason,days_held,ret_pct,r_multiple
TATAPOWER,2024-01-12,2024-01-15,2024-01-23,BLOWOFF EXTENSION,52.0,350.31,358.28,328.18,359.46,STOP,5,-2.714,-1.192
TATAPOWER,2025-03-24,2025-03-25,2025-04-04,DEAD-CAT BOUNCE,69.0,374.68,382.87,355.5,379.2,TIME_STOP,7,-1.308,-0.598
TITAN,2022-07-25,2022-07-26,2022-07-29,DEAD-CAT BOUNCE,53.0,2281.34,2333.09,2146.77,2333.09,STOP,3,-2.37,-1.045
TRENT,2023-08-17,2023-08-18,2023-08-18,BLOWOFF EXTENSION,62.0,1953.13,1991.56,1795.04,1991.56,STOP,0,-2.069,-1.051
TRENT,2024-08-13,2024-08-14,2024-08-16,BLOWOFF EXTENSION,50.0,6310.7,6486.45,5687.15,6486.45,STOP,1,-2.886,-1.036
UNOMINDA,2021-07-16,2021-07-19,2021-07-19,BLOWOFF EXTENSION,61.0,352.11,360.06,327.05,360.06,STOP,0,-2.36,-1.045
ULTRACEMCO,2023-12-05,2023-12-06,2023-12-11,BLOWOFF EXTENSION,64.0,9121.65,9324.23,8704.14,9324.23,STOP,3,-2.322,-1.046
UNIONBANK,2023-04-18,2023-04-19,2023-04-25,BLOWOFF EXTENSION,52.0,64.62,66.36,60.38,66.36,STOP,4,-2.788,-1.038
UNIONBANK,2026-01-15,2026-01-16,2026-01-16,BLOWOFF EXTENSION,56.0,173.95,176.56,157.5,176.56,STOP,0,-1.599,-1.067
VEDL,2022-08-01,2022-08-02,2022-08-10,DEAD-CAT BOUNCE,58.0,162.73,167.05,150.63,167.05,STOP,5,-2.756,-1.038
VEDL,2024-12-12,2024-12-13,2024-12-19,BLOWOFF EXTENSION,56.0,472.74,486.06,437.99,437.99,TARGET,4,7.254,2.575
VMM,2025-05-06,2025-05-07,2025-05-07,BLOWOFF EXTENSION,69.0,123.1,127.59,112.24,127.59,STOP,0,-3.746,-1.028
VOLTAS,2023-08-07,2023-08-08,2023-08-09,BLOWOFF EXTENSION,58.0,808.19,822.56,775.01,822.56,STOP,1,-1.879,-1.057
VOLTAS,2023-09-01,2023-09-04,2023-09-06,BLOWOFF EXTENSION,63.0,857.04,873.02,820.94,879.08,STOP,2,-2.673,-1.433
ZYDUSLIFE,2022-08-17,2022-08-18,2022-08-29,BLOWOFF EXTENSION,77.0,386.94,394.84,359.06,366.32,TIME_STOP,7,5.232,2.562
ZYDUSLIFE,2022-10-06,2022-10-07,2022-10-18,BLOWOFF EXTENSION,77.0,408.56,420.91,374.19,411.31,TIME_STOP,7,-0.774,-0.256
ZYDUSLIFE,2023-06-20,2023-06-21,2023-06-27,BLOWOFF EXTENSION,55.0,540.14,552.32,514.47,552.32,STOP,4,-2.356,-1.045
