symbol,signal_date,entry_date,exit_date,setup,score,entry,stop,target,exit,exit_reason,days_held,ret_pct,r_multiple,year,qty,pnl,equity
UNOMINDA,2021-07-16,2021-07-19,2021-07-19,BLOWOFF EXTENSION,61.0,352.11,360.06,327.05,360.06,STOP,0,-2.36,-1.045,2021,3550.0,-29500.0,4970500.0
TATACONSUM,2021-08-18,2021-08-20,2021-08-20,BLOWOFF EXTENSION,55.0,795.68,815.01,752.27,815.01,STOP,0,-2.531,-1.042,2021,1561.7,-31451.0,4939049.0
ADANIENSOL,2021-08-26,2021-08-27,2021-08-27,BLOWOFF EXTENSION,79.0,1364.08,1379.24,1088.42,1379.24,STOP,0,-1.211,-1.091,2021,905.2,-14953.0,4924096.0
HDFCLIFE,2021-08-30,2021-08-31,2021-08-31,BLOWOFF EXTENSION,64.0,694.34,704.72,670.78,704.72,STOP,0,-1.597,-1.067,2021,1772.9,-19659.0,4904437.0
AMBUJACEM,2021-09-06,2021-09-07,2021-09-17,BLOWOFF EXTENSION,55.0,419.75,427.79,397.01,415.6,TIME_STOP,7,0.889,0.464,2021,2921.0,10900.0,4915337.0
NTPC,2021-09-16,2021-09-17,2021-09-22,BLOWOFF EXTENSION,55.0,105.28,108.23,98.89,108.23,STOP,3,-2.909,-1.036,2021,11672.1,-35747.0,4879590.0
SUNPHARMA,2021-10-04,2021-10-05,2021-10-13,BLOWOFF EXTENSION,61.0,785.84,803.06,750.56,803.06,STOP,6,-2.293,-1.046,2021,1552.3,-27972.0,4851618.0
CDSL,2021-10-13,2021-10-14,2021-10-20,BLOWOFF EXTENSION,61.0,674.44,693.05,633.89,633.89,TARGET,3,5.915,2.144,2021,1798.4,71743.0,4923361.0
SBIN,2021-10-18,2021-10-19,2021-10-19,BLOWOFF EXTENSION,52.0,449.33,461.03,424.3,461.03,STOP,0,-2.704,-1.039,2021,2739.3,-33282.0,4890079.0
FEDERALBNK,2021-10-18,2021-10-19,2021-10-21,BLOWOFF EXTENSION,50.0,90.49,93.61,83.56,93.61,STOP,2,-3.555,-1.029,2021,11755.0,-37815.0,4852264.0
INDIGO,2021-11-16,2021-11-17,2021-11-22,BLOWOFF EXTENSION,58.0,2319.11,2397.44,2159.45,2159.45,TARGET,2,6.788,2.01,2021,464.6,73138.0,4925402.0
LT,2022-01-17,2022-01-18,2022-01-21,BLOWOFF EXTENSION,59.0,1938.78,1978.21,1847.56,1847.56,TARGET,3,4.607,2.265,2022,635.1,56728.0,4982130.0
ADANIPORTS,2022-04-06,2022-04-07,2022-04-20,BLOWOFF EXTENSION,77.0,816.85,845.31,746.81,803.65,TIME_STOP,7,1.517,0.435,2022,1312.9,16269.0,4998400.0
POLYCAB,2022-04-06,2022-04-07,2022-04-08,BLOWOFF EXTENSION,52.0,2546.59,2631.7,2371.82,2631.7,STOP,1,-3.444,-1.03,2022,440.5,-38631.0,4959769.0
ASHOKLEY,2022-04-11,2022-04-12,2022-04-25,BLOWOFF EXTENSION,67.0,58.34,59.91,54.12,58.18,TIME_STOP,7,0.187,0.07,2022,21253.7,2319.0,4962087.0
HEROMOTOCO,2022-04-28,2022-04-29,2022-05-06,DEAD-CAT BOUNCE,86.0,2174.74,2231.46,2055.44,2231.46,STOP,4,-2.71,-1.039,2022,570.4,-33618.0,4928469.0
MARUTI,2022-06-27,2022-06-28,2022-06-30,BLOWOFF EXTENSION,61.0,8085.67,8294.61,7653.19,8294.61,STOP,2,-2.685,-1.039,2022,152.4,-33082.0,4895387.0
TVSMOTOR,2022-06-27,2022-06-28,2022-06-28,BLOWOFF EXTENSION,58.0,782.19,802.58,736.04,802.58,STOP,0,-2.707,-1.039,2022,1564.6,-33130.0,4862257.0
ABB,2022-07-11,2022-07-12,2022-07-21,BLOWOFF EXTENSION,61.0,2522.84,2598.22,2341.71,2548.8,TIME_STOP,7,-1.129,-0.378,2022,481.8,-13724.0,4848534.0
CROMPTON,2022-07-15,2022-07-18,2022-07-19,DEAD-CAT BOUNCE,65.0,378.62,388.53,351.1,388.53,STOP,1,-2.719,-1.039,2022,3201.5,-32958.0,4815576.0
TATACONSUM,2022-07-18,2022-07-19,2022-07-21,BLOWOFF EXTENSION,54.0,761.09,776.0,728.38,776.0,STOP,2,-2.06,-1.052,2022,1581.8,-24800.0,4790776.0
LICHSGFIN,2022-07-20,2022-07-21,2022-07-22,DEAD-CAT BOUNCE,58.0,341.21,348.18,326.66,348.18,STOP,1,-2.144,-1.049,2022,3510.1,-25679.0,4765097.0
MCX,2022-07-21,2022-07-22,2022-08-01,DEAD-CAT BOUNCE,82.0,273.8,279.97,258.63,258.63,TARGET,6,5.444,2.417,2022,4350.9,64853.0,4829950.0
GODREJPROP,2022-07-22,2022-07-25,2022-07-28,DEAD-CAT BOUNCE,62.0,1443.56,1481.96,1332.09,1481.96,STOP,3,-2.762,-1.038,2022,836.5,-33351.0,4796599.0
TITAN,2022-07-25,2022-07-26,2022-07-29,DEAD-CAT BOUNCE,53.0,2281.34,2333.09,2146.77,2333.09,STOP,3,-2.37,-1.045,2022,210.1,-11357.0,4785242.0
HINDALCO,2022-08-01,2022-08-02,2022-08-04,DEAD-CAT BOUNCE,89.0,404.5,416.92,365.75,416.92,STOP,2,-3.173,-1.033,2022,2889.6,-37088.0,4748154.0
SBILIFE,2022-08-01,2022-08-02,2022-08-12,BLOWOFF EXTENSION,81.0,1276.59,1315.76,1167.03,1246.21,TIME_STOP,7,2.281,0.744,2022,909.1,26473.0,4774628.0
SAIL,2022-08-01,2022-08-02,2022-08-10,DEAD-CAT BOUNCE,75.0,73.26,75.25,69.14,75.25,STOP,5,-2.818,-1.037,2022,7307.0,-15085.0,4759543.0
INFY,2022-08-05,2022-08-08,2022-08-19,DEAD-CAT BOUNCE,75.0,1421.42,1451.5,1353.45,1407.74,TIME_STOP,7,0.862,0.407,2022,816.0,9998.0,4769540.0
LAURUSLABS,2022-08-11,2022-08-12,2022-08-16,BLOWOFF EXTENSION,69.0,554.67,568.0,521.04,568.0,STOP,1,-2.504,-1.042,2022,2149.7,-29857.0,4739683.0
ZYDUSLIFE,2022-08-17,2022-08-18,2022-08-29,BLOWOFF EXTENSION,77.0,386.94,394.84,359.06,366.32,TIME_STOP,7,5.232,2.562,2022,3062.3,61995.0,4801678.0
IOC,2022-08-17,2022-08-18,2022-08-24,DEAD-CAT BOUNCE,61.0,60.73,61.56,58.69,58.69,TARGET,4,3.261,2.383,2022,8830.5,17488.0,4819166.0
AXISBANK,2022-08-17,2022-08-18,2022-08-29,BLOWOFF EXTENSION,58.0,762.87,774.86,728.46,727.51,TIME_STOP,7,4.538,2.889,2022,13.8,476.0,4819642.0
MAXHEALTH,2022-09-13,2022-09-14,2022-09-15,BLOWOFF EXTENSION,52.0,415.3,427.63,387.09,427.63,STOP,1,-3.069,-1.034,2022,2901.3,-36979.0,4782663.0
ZYDUSLIFE,2022-10-06,2022-10-07,2022-10-18,BLOWOFF EXTENSION,77.0,408.56,420.91,374.19,411.31,TIME_STOP,7,-0.774,-0.256,2022,2904.5,-9185.0,4773479.0
INFY,2022-10-18,2022-10-19,2022-10-24,DEAD-CAT BOUNCE,53.0,1328.22,1349.28,1283.82,1349.28,STOP,3,-1.686,-1.064,2022,898.5,-20120.0,4753358.0
INDIANB,2022-10-24,2022-10-25,2022-10-25,BLOWOFF EXTENSION,65.0,209.05,216.03,187.53,216.03,STOP,0,-3.442,-1.03,2022,5107.5,-36751.0,4716608.0
AXISBANK,2022-10-24,2022-10-25,2022-11-04,BLOWOFF EXTENSION,56.0,901.01,921.28,806.35,866.04,TIME_STOP,7,3.784,1.682,2022,1308.7,44619.0,4761227.0
M&M,2022-11-01,2022-11-02,2022-11-11,BLOWOFF EXTENSION,55.0,1300.12,1325.39,1235.57,1235.57,TARGET,6,4.867,2.503,2022,915.5,57932.0,4819159.0
BRITANNIA,2022-11-09,2022-11-10,2022-11-21,BLOWOFF EXTENSION,73.0,3961.98,4080.12,3678.28,3944.87,TIME_STOP,7,0.332,0.111,2022,304.1,4000.0,4823159.0
SUPREMEIND,2022-11-10,2022-11-11,2022-11-11,BLOWOFF EXTENSION,54.0,2332.41,2399.86,2123.34,2399.86,STOP,0,-2.993,-1.035,2022,517.0,-36089.0,4787070.0
HINDPETRO,2022-11-29,2022-11-30,2022-11-30,BLOWOFF EXTENSION,68.0,142.93,146.43,132.27,146.43,STOP,0,-2.551,-1.041,2022,8373.1,-30530.0,4756540.0
BPCL,2022-11-29,2022-11-30,2022-12-09,BLOWOFF EXTENSION,50.0,141.44,144.88,132.64,143.18,TIME_STOP,7,-1.332,-0.547,2022,8407.3,-15839.0,4740701.0
