symbol,signal_date,entry_date,exit_date,setup,score,entry,stop,target,exit,exit_reason,days_held,ret_pct,r_multiple,year,qty,pnl,equity
DALBHARAT,2022-12-02,2022-12-05,2022-12-14,BLOWOFF EXTENSION,82.0,1859.73,1924.02,1717.21,1844.81,TIME_STOP,7,0.702,0.203,2022,553.0,7220.0,4747921.0
MPHASIS,2022-12-02,2022-12-05,2022-12-09,DEAD-CAT BOUNCE,81.0,1940.2,1985.95,1836.32,1836.32,TARGET,4,5.257,2.229,2022,325.3,33177.0,4781098.0
PERSISTENT,2022-12-02,2022-12-05,2022-12-12,BLOWOFF EXTENSION,77.0,2098.47,2169.89,1912.68,1912.68,TARGET,5,8.758,2.574,2022,9.5,1743.0,4782841.0
POWERINDIA,2022-12-13,2022-12-14,2022-12-15,BLOWOFF EXTENSION,78.0,3272.07,3367.12,3059.56,3367.12,STOP,1,-3.006,-1.035,2022,365.4,-35943.0,4746898.0
HCLTECH,2023-01-18,2023-01-19,2023-01-20,BLOWOFF EXTENSION,69.0,964.35,980.66,926.06,980.66,STOP,1,-1.792,-1.06,2023,1230.6,-21266.0,4725632.0
ITC,2023-02-06,2023-02-07,2023-02-16,BLOWOFF EXTENSION,65.0,313.22,322.62,289.86,320.69,TIME_STOP,7,-2.485,-0.828,2023,3770.5,-29347.0,4696285.0
PFC,2023-03-09,2023-03-10,2023-03-20,BLOWOFF EXTENSION,50.0,116.79,120.61,105.85,105.85,TARGET,6,9.274,2.838,2023,9220.5,99868.0,4796153.0
ADANIGREEN,2023-03-23,2023-03-24,2023-03-24,DEAD-CAT BOUNCE,72.0,976.77,994.16,781.47,994.16,STOP,0,-1.881,-1.057,2023,1227.6,-22554.0,4773599.0
BAJAJ-AUTO,2023-04-13,2023-04-17,2023-04-20,BLOWOFF EXTENSION,59.0,3939.48,4004.6,3690.15,4004.6,STOP,3,-1.754,-1.061,2023,302.9,-20932.0,4752666.0
TVSMOTOR,2023-04-17,2023-04-18,2023-04-19,BLOWOFF EXTENSION,61.0,1141.7,1165.81,1085.56,1165.81,STOP,1,-2.212,-1.048,2023,1040.7,-26282.0,4726384.0
AUBANK,2023-04-18,2023-04-19,2023-04-28,BLOWOFF EXTENSION,81.0,677.52,699.51,604.74,640.35,TIME_STOP,7,5.388,1.66,2023,1612.0,58846.0,4785230.0
UNIONBANK,2023-04-18,2023-04-19,2023-04-25,BLOWOFF EXTENSION,52.0,64.62,66.36,60.38,66.36,STOP,4,-2.788,-1.038,2023,9061.8,-16326.0,4768904.0
EICHERMOT,2023-04-19,2023-04-20,2023-05-02,BLOWOFF EXTENSION,55.0,3143.27,3203.4,2982.34,3212.91,TIME_STOP,7,-2.317,-1.211,2023,376.6,-27424.0,4741480.0
RELIANCE,2023-05-02,2023-05-03,2023-05-05,DEAD-CAT BOUNCE,69.0,1102.21,1115.6,1071.0,1115.6,STOP,2,-1.315,-1.083,2023,1075.4,-15588.0,4725892.0
PHOENIXLTD,2023-05-02,2023-05-03,2023-05-05,BLOWOFF EXTENSION,55.0,711.65,728.09,677.49,728.09,STOP,2,-2.411,-1.044,2023,1660.2,-28485.0,4697407.0
CANBK,2023-05-02,2023-05-03,2023-05-04,BLOWOFF EXTENSION,50.0,55.4,56.59,52.49,56.59,STOP,1,-2.239,-1.047,2023,8151.6,-10111.0,4687296.0
TATACONSUM,2023-05-03,2023-05-04,2023-05-09,BLOWOFF EXTENSION,71.0,747.54,764.11,710.73,764.11,STOP,3,-2.318,-1.046,2023,596.0,-10327.0,4676968.0
BEL,2023-05-04,2023-05-05,2023-05-11,BLOWOFF EXTENSION,56.0,103.59,105.89,98.88,105.89,STOP,4,-2.322,-1.046,2023,11287.2,-27150.0,4649818.0
TVSMOTOR,2023-05-08,2023-05-09,2023-05-16,BLOWOFF EXTENSION,58.0,1206.29,1236.42,1131.27,1236.42,STOP,5,-2.599,-1.041,2023,963.7,-30212.0,4619606.0
ASTRAL,2023-05-09,2023-05-10,2023-05-12,BLOWOFF EXTENSION,59.0,1528.32,1562.74,1443.79,1562.74,STOP,2,-2.354,-1.045,2023,287.9,-10359.0,4609247.0
TATAELXSI,2023-05-11,2023-05-12,2023-05-23,DEAD-CAT BOUNCE,83.0,6799.06,6930.53,6326.62,6639.11,TIME_STOP,7,2.254,1.166,2023,169.5,25973.0,4635220.0
HINDUNILVR,2023-05-16,2023-05-17,2023-05-26,BLOWOFF EXTENSION,59.0,2481.02,2518.93,2389.19,2439.6,TIME_STOP,7,1.57,1.028,2023,467.1,18193.0,4653413.0
EXIDEIND,2023-05-18,2023-05-19,2023-05-23,BLOWOFF EXTENSION,72.0,200.58,205.29,188.3,205.29,STOP,2,-2.446,-1.043,2023,2397.7,-11764.0,4641650.0
ADANIPOWER,2023-05-23,2023-05-24,2023-05-24,DEAD-CAT BOUNCE,79.0,52.0,52.55,46.41,52.55,STOP,0,-1.16,-1.095,2023,22315.6,-13461.0,4628189.0
ADANIGREEN,2023-05-23,2023-05-24,2023-05-24,DEAD-CAT BOUNCE,59.0,987.81,998.98,912.02,998.98,STOP,0,-1.231,-1.089,2023,1171.3,-14243.0,4613946.0
DIXON,2023-05-29,2023-05-30,2023-05-31,BLOWOFF EXTENSION,81.0,3662.67,3760.6,3195.59,3760.6,STOP,1,-2.775,-1.038,2023,314.9,-32009.0,4581936.0
AXISBANK,2023-06-07,2023-06-08,2023-06-13,BLOWOFF EXTENSION,64.0,963.83,981.83,922.94,981.83,STOP,3,-1.968,-1.054,2023,1188.5,-22543.0,4559393.0
ICICIPRULI,2023-06-08,2023-06-09,2023-06-14,BLOWOFF EXTENSION,68.0,497.94,516.22,463.84,516.22,STOP,3,-3.774,-1.028,2023,1870.6,-35154.0,4524240.0
ASHOKLEY,2023-06-19,2023-06-20,2023-06-30,BLOWOFF EXTENSION,76.0,75.29,77.78,69.99,75.87,TIME_STOP,7,-0.865,-0.262,2023,13627.2,-8875.0,4515365.0
ZYDUSLIFE,2023-06-20,2023-06-21,2023-06-27,BLOWOFF EXTENSION,55.0,540.14,552.32,514.47,552.32,STOP,4,-2.356,-1.045,2023,2089.9,-26595.0,4488769.0
CANBK,2023-07-10,2023-07-11,2023-07-20,BLOWOFF EXTENSION,55.0,60.36,62.12,56.73,61.87,TIME_STOP,7,-2.613,-0.894,2023,18591.7,-29323.0,4459446.0
INFY,2023-07-19,2023-07-20,2023-07-21,BLOWOFF EXTENSION,62.0,1327.57,1370.09,1241.46,1201.08,TARGET,1,9.433,2.945,2023,786.6,98505.0,4557951.0
BHEL,2023-07-27,2023-07-28,2023-07-31,BLOWOFF EXTENSION,50.0,100.75,103.84,93.75,103.84,STOP,1,-3.17,-1.033,2023,11063.0,-35333.0,4522618.0
SAIL,2023-08-01,2023-08-02,2023-08-11,BLOWOFF EXTENSION,52.0,91.61,93.42,87.95,88.32,TIME_STOP,7,3.497,1.773,2023,12342.0,39539.0,4562157.0
VOLTAS,2023-08-07,2023-08-08,2023-08-09,BLOWOFF EXTENSION,58.0,808.19,822.56,775.01,822.56,STOP,1,-1.879,-1.057,2023,1411.2,-21431.0,4540727.0
TRENT,2023-08-17,2023-08-18,2023-08-18,BLOWOFF EXTENSION,62.0,1953.13,1991.56,1795.04,1991.56,STOP,0,-2.069,-1.051,2023,581.2,-23487.0,4517240.0
VOLTAS,2023-09-01,2023-09-04,2023-09-06,BLOWOFF EXTENSION,63.0,857.04,873.02,820.94,879.08,STOP,2,-2.673,-1.433,2023,1317.7,-30186.0,4487053.0
MARUTI,2023-09-04,2023-09-05,2023-09-11,BLOWOFF EXTENSION,64.0,10070.86,10303.86,9535.64,10303.86,STOP,4,-2.415,-1.044,2023,111.4,-27091.0,4459963.0
HCLTECH,2023-09-05,2023-09-06,2023-09-07,BLOWOFF EXTENSION,55.0,1098.45,1119.3,1054.9,1119.3,STOP,1,-1.999,-1.053,2023,1015.1,-22289.0,4437674.0
OFSS,2023-09-06,2023-09-07,2023-09-07,BLOWOFF EXTENSION,51.0,3764.14,3826.0,3639.52,3826.0,STOP,0,-1.744,-1.061,2023,294.7,-19348.0,4418326.0
SRF,2023-09-07,2023-09-08,2023-09-18,BLOWOFF EXTENSION,67.0,2428.15,2464.03,2337.53,2323.82,TARGET,6,4.199,2.842,2023,454.9,46381.0,4464707.0
GLENMARK,2023-09-14,2023-09-15,2023-09-21,BLOWOFF EXTENSION,52.0,847.46,870.21,790.21,870.21,STOP,3,-2.786,-1.038,2023,1317.1,-31097.0,4433610.0
OBEROIRLTY,2023-11-06,2023-11-07,2023-11-09,BLOWOFF EXTENSION,61.0,1212.01,1240.89,1132.53,1240.89,STOP,2,-2.484,-1.042,2023,914.5,-27533.0,4406078.0
TATAELXSI,2023-11-08,2023-11-09,2023-11-16,BLOWOFF EXTENSION,70.0,7842.2,8075.45,7356.8,8075.45,STOP,4,-3.076,-1.034,2023,140.5,-33883.0,4372195.0
ALKEM,2023-11-09,2023-11-10,2023-11-15,BLOWOFF EXTENSION,76.0,4123.92,4254.21,3713.19,4254.21,STOP,2,-3.261,-1.032,2023,251.7,-33846.0,4338349.0
HINDPETRO,2023-11-09,2023-11-10,2023-11-15,BLOWOFF EXTENSION,58.0,180.24,186.44,160.17,186.44,STOP,2,-3.542,-1.03,2023,2572.0,-16420.0,4321929.0
AXISBANK,2023-12-05,2023-12-06,2023-12-15,BLOWOFF EXTENSION,65.0,1123.33,1154.4,1041.72,1116.52,TIME_STOP,7,0.506,0.183,2023,961.9,5467.0,4327396.0
ULTRACEMCO,2023-12-05,2023-12-06,2023-12-11,BLOWOFF EXTENSION,64.0,9121.65,9324.23,8704.14,9324.23,STOP,3,-2.322,-1.046,2023,118.6,-25121.0,4302275.0
BEL,2023-12-07,2023-12-08,2023-12-11,BLOWOFF EXTENSION,61.0,154.63,159.27,142.87,159.27,STOP,1,-3.1,-1.034,2023,2709.9,-12990.0,4289285.0
JINDALSTEL,2023-12-13,2023-12-14,2023-12-14,BLOWOFF EXTENSION,50.0,738.25,757.28,682.78,757.28,STOP,0,-2.679,-1.039,2023,1452.5,-28727.0,4260558.0
HCLTECH,2023-12-18,2023-12-19,2023-12-29,BLOWOFF EXTENSION,67.0,1340.48,1374.45,1239.76,1335.43,TIME_STOP,7,0.277,0.109,2023,794.6,2950.0,4263508.0
LTM,2023-12-18,2023-12-19,2023-12-20,BLOWOFF EXTENSION,50.0,5838.96,6013.21,5480.41,6013.21,STOP,1,-3.086,-1.034,2023,182.5,-32893.0,4230615.0
BIOCON,2024-01-04,2024-01-05,2024-01-05,BLOWOFF EXTENSION,70.0,279.82,288.59,253.7,288.59,STOP,0,-3.237,-1.032,2024,3618.0,-32771.0,4197844.0
PETRONET,2024-01-04,2024-01-05,2024-01-05,BLOWOFF EXTENSION,63.0,212.09,216.74,201.82,216.74,STOP,0,-2.293,-1.046,2024,4948.2,-24064.0,4173780.0
GODREJPROP,2024-01-05,2024-01-08,2024-01-12,BLOWOFF EXTENSION,67.0,2197.8,2268.17,2017.95,2268.17,STOP,4,-3.303,-1.032,2024,444.8,-32292.0,4141488.0
TATAPOWER,2024-01-12,2024-01-15,2024-01-23,BLOWOFF EXTENSION,52.0,350.31,358.28,328.18,359.46,STOP,5,-2.714,-1.192,2024,2955.6,-28100.0,4113388.0
CIPLA,2024-01-24,2024-01-25,2024-02-05,BLOWOFF EXTENSION,62.0,1354.43,1392.58,1274.62,1392.58,STOP,6,-2.918,-1.036,2024,759.2,-30007.0,4083381.0
BAJFINANCE,2024-04-01,2024-04-02,2024-04-12,BLOWOFF EXTENSION,71.0,708.92,726.25,664.66,710.02,TIME_STOP,7,-0.255,-0.104,2024,1440.0,-2603.0,4080778.0
CHOLAFIN,2024-04-02,2024-04-03,2024-04-04,BLOWOFF EXTENSION,61.0,1179.47,1206.87,1108.1,1206.87,STOP,1,-2.424,-1.044,2024,865.0,-24730.0,4056048.0
HINDZINC,2024-04-04,2024-04-05,2024-04-08,BLOWOFF EXTENSION,77.0,303.06,312.99,280.47,313.26,STOP,1,-3.467,-1.058,2024,3063.5,-32188.0,4023860.0
ABCAPITAL,2024-04-04,2024-04-05,2024-04-16,BLOWOFF EXTENSION,66.0,203.35,210.45,184.32,210.45,STOP,6,-3.597,-1.029,2024,2287.0,-16728.0,4007132.0
RVNL,2024-04-25,2024-04-26,2024-04-29,BLOWOFF EXTENSION,63.0,282.09,291.87,261.15,291.87,STOP,1,-3.569,-1.029,2024,3073.0,-30938.0,3976194.0
BHARATFORG,2024-04-26,2024-04-29,2024-05-08,BLOWOFF EXTENSION,50.0,1285.6,1314.68,1180.76,1314.68,STOP,6,-2.364,-1.045,2024,773.2,-23499.0,3952695.0
GVT&D,2024-05-22,2024-05-23,2024-05-23,BLOWOFF EXTENSION,80.0,1395.58,1442.19,1132.97,1442.19,STOP,0,-3.442,-1.03,2024,636.0,-30552.0,3922143.0
JINDALSTEL,2024-05-22,2024-05-23,2024-06-03,BLOWOFF EXTENSION,65.0,1053.24,1089.07,965.74,1075.61,TIME_STOP,7,-2.225,-0.654,2024,821.0,-19240.0,3902903.0
HDFCLIFE,2024-06-14,2024-06-18,2024-06-27,DEAD-CAT BOUNCE,62.0,587.72,599.67,563.67,585.34,TIME_STOP,7,0.305,0.15,2024,1660.2,2976.0,3905879.0
LTF,2024-06-18,2024-06-19,2024-06-20,BLOWOFF EXTENSION,54.0,174.29,178.94,159.4,178.94,STOP,1,-2.766,-1.038,2024,5602.6,-27009.0,3878870.0
HDFCBANK,2024-06-20,2024-06-21,2024-06-25,BLOWOFF EXTENSION,71.0,800.92,819.95,760.78,819.95,STOP,2,-2.477,-1.043,2024,1210.8,-24020.0,3854850.0
HDFCLIFE,2024-07-09,2024-07-10,2024-07-10,BLOWOFF EXTENSION,63.0,616.37,628.52,590.84,628.52,STOP,0,-2.072,-1.051,2024,1563.5,-19968.0,3834882.0
FEDERALBNK,2024-07-12,2024-07-15,2024-07-23,BLOWOFF EXTENSION,52.0,191.22,195.99,179.42,200.59,STOP,5,-5.003,-2.003,2024,5013.7,-47965.0,3786917.0
NTPC,2024-08-01,2024-08-02,2024-08-13,BLOWOFF EXTENSION,52.0,395.8,407.38,371.76,387.21,TIME_STOP,7,2.07,0.707,2024,2391.9,19597.0,3806514.0
TRENT,2024-08-13,2024-08-14,2024-08-16,BLOWOFF EXTENSION,50.0,6310.7,6486.45,5687.15,6486.45,STOP,1,-2.886,-1.036,2024,150.8,-27464.0,3779050.0
NESTLEIND,2024-09-23,2024-09-24,2024-09-24,BLOWOFF EXTENSION,61.0,1316.05,1342.32,1259.88,1342.32,STOP,0,-2.098,-1.051,2024,717.9,-19821.0,3759229.0
PAGEIND,2024-10-16,2024-10-17,2024-10-23,BLOWOFF EXTENSION,55.0,44723.58,45813.08,42449.8,42449.8,TARGET,4,4.987,2.047,2024,21.0,46868.0,3806097.0
COFORGE,2024-11-26,2024-11-27,2024-11-27,BLOWOFF EXTENSION,59.0,1696.34,1726.05,1582.91,1726.05,STOP,0,-1.852,-1.058,2024,560.9,-17622.0,3788475.0
SHREECEM,2024-12-04,2024-12-05,2024-12-13,BLOWOFF EXTENSION,71.0,26796.56,27493.83,25342.23,27493.83,STOP,6,-2.703,-1.039,2024,35.3,-25601.0,3762875.0
VEDL,2024-12-12,2024-12-13,2024-12-19,BLOWOFF EXTENSION,56.0,472.74,486.06,437.99,437.99,TARGET,4,7.254,2.575,2024,1989.9,68240.0,3831114.0
EICHERMOT,2025-01-03,2025-01-06,2025-01-15,BLOWOFF EXTENSION,67.0,5198.08,5347.44,4847.06,4973.41,TIME_STOP,7,4.224,1.47,2025,184.3,40457.0,3871571.0
LTF,2025-03-24,2025-03-25,2025-04-04,BLOWOFF EXTENSION,79.0,151.44,156.55,140.32,149.93,TIME_STOP,7,0.9,0.267,2025,5682.3,7745.0,3879316.0
TATAPOWER,2025-03-24,2025-03-25,2025-04-04,DEAD-CAT BOUNCE,69.0,374.68,382.87,355.5,379.2,TIME_STOP,7,-1.308,-0.598,2025,2588.4,-12685.0,3866630.0
ABCAPITAL,2025-03-24,2025-03-25,2025-04-02,DEAD-CAT BOUNCE,65.0,183.07,188.99,166.67,188.99,STOP,5,-3.337,-1.031,2025,2674.5,-16338.0,3850292.0
ABCAPITAL,2025-04-22,2025-04-23,2025-04-23,BLOWOFF EXTENSION,73.0,202.45,208.58,187.1,208.58,STOP,0,-3.132,-1.034,2025,4710.8,-29870.0,3820422.0
CDSL,2025-04-22,2025-04-23,2025-04-23,DEAD-CAT BOUNCE,71.0,1293.15,1335.87,1204.99,1335.87,STOP,0,-3.405,-1.031,2025,670.7,-29533.0,3790889.0
HDFCBANK,2025-04-22,2025-04-23,2025-05-05,BLOWOFF EXTENSION,65.0,938.13,961.0,886.79,941.01,TIME_STOP,7,-0.407,-0.167,2025,1010.2,-3857.0,3787032.0
ADANIPOWER,2025-04-23,2025-04-24,2025-04-30,DEAD-CAT BOUNCE,78.0,114.69,118.14,107.03,107.03,TARGET,4,6.581,2.184,2025,8232.7,62138.0,3849170.0
OFSS,2025-04-24,2025-04-25,2025-04-29,DEAD-CAT BOUNCE,84.0,8039.1,8245.76,7394.74,8245.76,STOP,2,-2.672,-1.039,2025,51.9,-11158.0,3838012.0
VMM,2025-05-06,2025-05-07,2025-05-07,BLOWOFF EXTENSION,69.0,123.1,127.59,112.24,127.59,STOP,0,-3.746,-1.028,2025,6410.9,-29563.0,3808449.0
CANBK,2025-05-14,2025-05-15,2025-05-16,BLOWOFF EXTENSION,69.0,97.6,100.39,91.03,100.39,STOP,1,-2.951,-1.036,2025,9755.2,-28097.0,3780353.0
BSE,2025-05-14,2025-05-15,2025-05-20,BLOWOFF EXTENSION,56.0,2408.4,2492.38,2142.23,2504.4,STOP,3,-4.088,-1.172,2025,337.6,-33240.0,3747113.0
BHARATFORG,2025-05-15,2025-05-16,2025-05-19,DEAD-CAT BOUNCE,69.0,1231.86,1263.07,1136.67,1263.07,STOP,1,-2.635,-1.04,2025,760.5,-24684.0,3722429.0
DELHIVERY,2025-05-15,2025-05-16,2025-05-19,DEAD-CAT BOUNCE,53.0,321.83,329.33,301.4,335.85,STOP,1,-4.459,-1.913,2025,1502.6,-21563.0,3700866.0
APLAPOLLO,2025-05-16,2025-05-19,2025-05-19,BLOWOFF EXTENSION,55.0,1767.16,1801.62,1654.92,1801.62,STOP,0,-2.051,-1.052,2025,523.6,-18976.0,3681890.0
BAJAJ-AUTO,2025-05-27,2025-05-28,2025-06-02,DEAD-CAT BOUNCE,52.0,8551.47,8711.97,8100.36,8100.36,TARGET,3,5.178,2.759,2025,107.6,47662.0,3729552.0
ICICIGI,2025-06-09,2025-06-10,2025-06-13,BLOWOFF EXTENSION,79.0,1984.0,2027.28,1867.78,1862.06,TARGET,3,6.049,2.773,2025,470.0,56400.0,3785952.0
IDFCFIRSTB,2025-06-09,2025-06-10,2025-06-19,BLOWOFF EXTENSION,59.0,71.62,73.32,67.88,70.54,TIME_STOP,7,1.415,0.598,2025,13215.4,13393.0,3799345.0
