date,equity
2022-07-22,5055493.105722071
2022-07-29,5075585.959693334
2022-08-01,5114756.030889175
2022-08-03,5048540.833948573
2022-08-04,5050381.353331769
2022-08-10,5009968.210962881
2022-08-12,4999487.13564036
2022-08-19,5059017.44934106
2022-08-24,5100261.0890968125
2022-12-09,5146986.34342545
2023-03-24,5107653.712973784
2023-05-19,5102761.404788147
2023-05-24,5024652.599522357
2025-04-03,5018906.795459724
2025-04-04,5012836.433584384
2025-05-05,5050117.17843693
2025-05-07,5179714.9828439895
2025-05-19,5137333.36071152
2025-05-27,5097863.633381451
2025-06-02,5151396.656036487
2025-06-26,5208395.178406744
2025-07-09,5162769.9738305565
2026-04-15,5123204.794136083
2026-05-06,5107749.236306869
2026-05-19,5110877.24716903
2026-05-20,5150171.310463745
2026-06-09,5128209.406288547
2026-07-02,5144412.644608953
